,ZIP,date_start - date_end,Predicted new cases,cases/population * 10000
160,90018,2020/4/17 - 2020/4/20,4.278218,0.803330666
161,90018,2020/4/18 - 2020/4/21,10.674459,2.004367481
162,90018,2020/4/19 - 2020/4/22,8.11804,1.524342813
163,90018,2020/4/20 - 2020/4/23,8.590146,1.612991224
164,90018,2020/4/21 - 2020/4/24,7.273012,1.365670002
165,90018,2020/4/22 - 2020/4/25,2.0591652,0.386654131
166,90018,2020/4/23 - 2020/4/26,0.86353564,0.162148048
167,90018,2020/4/24 - 2020/4/27,1.3252974,0.248854093
168,90018,2020/4/25 - 2020/4/28,7.4018726,1.389866425
169,90018,2020/4/26 - 2020/4/29,5.6270356,1.05660125
170,90018,2020/4/27 - 2020/4/30,6.323826,1.187439131
171,90018,2020/4/28 - 2020/5/1,6.4073763,1.203127589
172,90018,2020/4/29 - 2020/5/2,4.2061253,0.789793687
173,90018,2020/4/30 - 2020/5/3,5.706356,1.071495427
174,90018,2020/5/1 - 2020/5/4,2.2894034,0.42988648
175,90018,2020/5/2 - 2020/5/5,7.648678,1.436209596
176,90018,2020/5/3 - 2020/5/6,6.9197016,1.299328071
177,90018,2020/5/4 - 2020/5/7,6.202344,1.1646282
178,90018,2020/5/5 - 2020/5/8,4.02664,0.756091321
179,90018,2020/5/6 - 2020/5/9,5.9288697,1.113277325
180,90018,2020/5/7 - 2020/5/10,3.7764933,0.709120721
181,90018,2020/5/8 - 2020/5/11,0.29749846,0.055861962
182,90018,2020/5/9 - 2020/5/12,0.9728801,0.182679909
183,90018,2020/5/10 - 2020/5/13,3.8832192,0.729160891
184,90018,2020/5/11 - 2020/5/14,2.2003756,0.413169513
185,90018,2020/5/12 - 2020/5/15,4.312403,0.809749738
186,90018,2020/5/13 - 2020/5/16,5.4111576,1.016065346
187,90018,2020/5/14 - 2020/5/17,1.992886,0.374208718
188,90018,2020/5/15 - 2020/5/18,3.6571796,0.686716913
189,90018,2020/5/16 - 2020/5/19,-1.484479,-0.278743982
190,90018,2020/5/17 - 2020/5/20,13.810429,2.593215529
191,90018,2020/5/18 - 2020/5/21,5.3084245,0.996774912
192,90018,2020/5/19 - 2020/5/22,5.3976793,1.013534499
193,90018,2020/5/20 - 2020/5/23,6.9077873,1.297090905
194,90018,2020/5/21 - 2020/5/24,3.4296525,0.643993626
195,90018,2020/5/22 - 2020/5/25,4.5006027,0.845088389
196,90018,2020/5/23 - 2020/5/26,10.723455,2.013567566
197,90018,2020/5/24 - 2020/5/27,13.4813385,2.53142153
198,90018,2020/5/25 - 2020/5/28,6.8751574,1.290963902
199,90018,2020/5/26 - 2020/5/29,4.7367105,0.889422891
200,90018,2020/5/27 - 2020/5/30,4.40723,0.827555562
201,90033,2020/3/22 - 2020/3/25,0.6518843,0.136999415
202,90033,2020/3/23 - 2020/3/26,0.570745,0.119947248
203,90033,2020/3/24 - 2020/3/27,1.372724,0.288490439
204,90033,2020/3/25 - 2020/3/28,1.2995079,0.273103389
205,90033,2020/3/26 - 2020/3/29,0.96766734,0.203364088
206,90033,2020/3/27 - 2020/3/30,-0.6969061,-0.14646115
207,90033,2020/3/28 - 2020/3/31,1.4126525,0.296881763
208,90033,2020/3/29 - 2020/4/1,1.4818952,0.311433749
209,90033,2020/3/30 - 2020/4/2,0.99806213,0.20975183
210,90033,2020/3/31 - 2020/4/3,1.5078695,0.316892479
211,90033,2020/4/1 - 2020/4/4,1.1188045,0.235126927
212,90033,2020/4/2 - 2020/4/5,2.3580823,0.49557243
213,90033,2020/4/3 - 2020/4/6,2.8203504,0.592722277
214,90033,2020/4/4 - 2020/4/7,5.027297,1.056532169
215,90033,2020/4/5 - 2020/4/8,4.1539445,0.872989196
216,90033,2020/4/6 - 2020/4/9,2.7020128,0.567852548
217,90033,2020/4/7 - 2020/4/10,1.4424014,0.303133768
218,90033,2020/4/8 - 2020/4/11,1.8460102,0.387955826
219,90033,2020/4/9 - 2020/4/12,2.491263,0.523561548
220,90033,2020/4/10 - 2020/4/13,2.683283,0.563916334
221,90033,2020/4/11 - 2020/4/14,4.059166,0.853070625
222,90033,2020/4/12 - 2020/4/15,1.9244181,0.404433956
223,90033,2020/4/13 - 2020/4/16,2.946724,0.619280823
224,90033,2020/4/14 - 2020/4/17,2.393602,0.503037197
225,90033,2020/4/15 - 2020/4/18,3.351808,0.704412936
226,90033,2020/4/16 - 2020/4/19,2.8327887,0.595336298
227,90033,2020/4/17 - 2020/4/20,3.5925305,0.75500294
228,90033,2020/4/18 - 2020/4/21,8.001758,1.681642104
229,90033,2020/4/19 - 2020/4/22,7.617521,1.600891245
