FID,COMTY_NAME,CERT,Shape_Leng,Shape_Area,location,cases,case_rate,deaths,death_rate,Date,Shape__Area,Shape__Length
107,SOUTH PARK, ,27812.8824739,40272283.545,SOUTH PARK,223,587.45,6,15.81,2020/05/19,5457278.69921875,10241.8136399657
108,VENICE,yes,42487.4367832,77365656.5986,VENICE,60,177.07,2,5.9,2020/05/19,10482155.6953125,15635.067337808
109,DEL REY,yes,44901.1444683,65056174.1909,DEL REY,63,210.45,3,10.02,2020/05/19,8813664.37109375,16524.7246286933
110,VERMONT SQUARE, ,14247.9891508,12464816.7283,VERMONT SQUARE,69,901.14,2,26.12,2020/05/19,1689092.83203125,5243.49945985987
111,HYDE PARK, ,38453.657366,58282033.6572,HYDE PARK,112,392.42,2,7.01,2020/05/19,7894674.46875,14157.244607959
112,HYDE PARK, ,10307.121585,1920946.17371,HYDE PARK,112,392.42,2,7.01,2020/05/19,260213.43359375,3793.9402438639
113,PLAYA VISTA, ,38808.2010587,38198628.6997,PLAYA VISTA,22,200.97,0,0,2020/05/19,5173797.765625,14278.8859334631
114,FLORENCE-FIRESTONE, ,34531.8735943,70624286.1531,FLORENCE-FIRESTONE,263,554.33,9,18.97,2020/05/19,9564578.30078125,12714.6391308427
115,HARVARD PARK, ,34413.7998157,62620642.102,HARVARD PARK,213,561.49,2,5.27,2020/05/19,8482086.625,12654.3784892757
116,WESTCHESTER, ,115126.335809,359230016.259,WESTCHESTER,84,162.78,7,13.57,2020/05/19,48624700.0195313,42351.3298435082
117,MARINA PENINSULA, ,17719.2044901,10162597.2237,MARINA PENINSULA,9,206.42,0,0,2020/05/19,1376244.48828125,6523.62155023338
118,PLAYA DEL REY, ,28610.7023918,18978789.3932,PLAYA DEL REY,2,62.58,0,0,2020/05/19,2569350.80859375,10526.1681969565
119,VERMONT KNOLLS, ,26864.296763,31417368.125,VERMONT KNOLLS,108,627.91,1,5.81,2020/05/19,4254199.01953125,9881.32037643
120,MANCHESTER SQUARE, ,18622.4685377,21250865.4565,MANCHESTER SQUARE,18,210.87,0,0,2020/05/19,2877470.3515625,6854.84899980013
121,VERMONT VISTA, ,30925.3989435,51077275.6077,VERMONT VISTA,233,565.73,4,9.71,2020/05/19,6913927.03515625,11383.7556990319
122,GREEN MEADOWS, ,23931.6689816,34117649.2309,GREEN MEADOWS,117,544.06,2,9.3,2020/05/19,4617890.578125,8806.6669728253
123,GRAMERCY PLACE, ,26306.7455158,31593783.1129,GRAMERCY PLACE,51,473.8,2,18.58,2020/05/19,4276335.1953125,9682.67830737259
124,WATTS,yes,35531.7880924,56253062.7208,WATTS,176,412.43,6,14.06,2020/05/19,7612083.48046875,13071.3925594521
125,FIGUEROA PARK SQUARE, ,19131.8089662,18891834.8279,FIGUEROA PARK SQUARE,28,321.06,0,0,2020/05/19,2555966.3125,7043.98819567208
126,CENTURY PALMS/COVE, ,31249.864195,58653988.875,CENTURY PALMS/COVE,162,479.77,2,5.92,2020/05/19,7935577.6484375,11491.0711372773
127,HARBOR GATEWAY,yes,114051.615367,140485563.013,HARBOR GATEWAY,104,238.53,3,6.88,2020/05/19,18977018.8632813,41974.8699455594
128,WILMINGTON,yes,125282.464126,212113189.938,WILMINGTON,156,276.17,2,3.54,2020/05/19,28596729.328125,46028.6032355151
129,HARBOR CITY,yes,70151.4724096,141800340.203,HARBOR CITY,65,223.6,4,13.76,2020/05/19,19115385.3554688,25771.1483104959
130,LITTLE BANGLADESH,yes,15828.7081789,13915649.7771,LITTLE BANGLADESH,104,366.93,2,7.06,2020/05/19,1888617.0625,5826.91952789859
131,VALLEY GLEN,yes,31796.9271206,63082497.4344,VALLEY GLEN,109,363.14,2,6.66,2020/05/19,8585677.09765625,11730.5239707226
132,RESEDA RANCH,yes,18708.7315689,14513752.6926,RESEDA RANCH,29,625.54,0,0,2020/05/19,1976855.6171875,6902.33896757667
133,HARBOR PINES,yes,10876.8104413,6269908.06545,HARBOR PINES,8,332.09,0,0,2020/05/19,845258.8671875,3991.75024523689
134,SYCAMORE SQUARE,yes,6644.15195776,2623157.81391,SYCAMORE SQUARE,1,154.56,0,0,2020/05/19,355971.84765625,2447.86536517227
135,BROOKSIDE,yes,10335.5434463,5858064.39628,BROOKSIDE,0,0,0,0,2020/05/19,794948.15234375,3805.23801237291
136,VIEW HEIGHTS,Yes,9976.48640597,6366350.33974,VIEW HEIGHTS,8,216.57,2,54.14,2020/05/19,862412.26953125,3672.72757862406
